ABR,Abbey Road
ACC,Acton Central
ACT,Acton Town
ALD,Aldgate
ALE,Aldgate East
ALS,All Saints
ALP,Alperton
AME,Amersham
AEL,Anerley
ANG,Angel
ARC,Archway
AGR,Arnos Grove
ARL,Arsenal
BST,Baker Street
BAL,Balham
BNK,Bank
BAR,Barbican
BKG,Barking
BDE,Barkingside
BCT,Barons Court
BYW,Bayswater
BKT,Beckton
BKP,Beckton Park
BEC,Becontree
BPK,Belsize Park
BER,Bermondsey
BNG,Bethnal Green
BLF,Blackfriars
BHR,Blackhorse Road
BLK,Blackwall
BDS,Bond Street
BOR,Borough
BOS,Boston Manor
BGR,Bounds Green
BWC,Bow Church
BWR,Bow Road
BTX,Brent Cross
BRX,Brixton
BRK,Brockley
BBB,Bromley-By-Bow
BRN,Brondesbury
BRP,Brondesbury Park
BHL,Buckhurst Hill
BUR,Burnt Oak
BSH,Bushey
CRD,Caledonian Road
CRB,Caledonian Road & Barnsbury
CMR,Camden Road
CTN,Camden Town
CWR,Canada Water
CWF,Canary Wharf
CNT,Canning Town
CST,Cannon Street
CNB,Canonbury
CPK,Canons Park
CLF,Chalfont & Latimer
CHF,Chalk Farm
CYL,Chancery Lane
CHX,Charing Cross
CSH,Chesham
CHG,Chigwell
CHP,Chiswick Park
CWD,Chorleywood
CPC,Clapham Common
CHS,Clapham High Street
CPJ,Clapham Junction
CPN,Clapham North
CPS,Clapham South
CFS,Cockfosters
COL,Colindale
CLW,Colliers Wood
COV,Covent Garden
CLA,Crossharbour
CRH,Crouch Hill
CRX,Croxley
CSP,Crystal Palace
CTH,Custom House
CTS,Cutty Sark
CYP,Cyprus
DGE,Dagenham East
DGH,Dagenham Heathway
DKL,Dalson Kingsland
DLJ,Dalston Junction
DEB,Debden
DNH,Denmark Hill
DFB,Deptford Bridge
DVR,Devons Road
DHL,Dollis Hill
EBY,Ealing Broadway
ECM,Ealing Common
ECT,Earl's Court
EAC,East Acton
EFY,East Finchley
EHM,East Ham
EID,East India
EPY,East Putney
ETE,Eastcote
EDG,Edgware
ERD,Edgware Road
ELE,Elephant & Castle
EPK,Elm Park
EVR,Elverson Road
EMB,Embankment
EPP,Epping
EUS,Euston
ESQ,Euston Square
FLP,Fairlop
FAR,Farringdon
FYC,Finchley Central
FRD,Finchley Road
FRF,Finchley Road & Frognal
FPK,Finsbury Park
FRH,Forest Hill
FBY,Fulham Broadway
GLR,Gallions Reach
GHL,Gants Hill
GRD,Gloucester Road
GGR,Golders Green
GHR,Goldhawk Road
GST,Goodge Street
GSO,Gospel Oak
GRH,Grange Hill
GPS,Great Portland Street
GPK,Green Park
GFD,Greenford
GWH,Greenwich
GUN,Gunnersbury
HKC,Hackney Central
HKW,Hackney Wick
HGT,Haggerston
HAI,Hainault
HMS,Hammersmith
HMP,Hampstead
HLN,Hanger Lane
HSD,Harlesden
HGL,Harringay Green Lanes
HRW,Harrow & Wealdstone
HOH,Harrow on the Hill
HCE,Hatch End
HTX,Hatton Cross
HTF,Heathrow Terminal 4
HT5,Heathrow Terminal 5
HTR,Heathrow Terminals 1, 2, 3
HSL,Heathstone Lane
HSH,Hampstead Heath
HND,Hendon Central
HRQ,Heron Quays
HBT,High Barnet
HST,High Street Kensington
HBY,Highbury & Islington
HIG,Highgate
HDN,Hillingdon
HOL,Holborn
HPK,Holland Park
HRD,Holloway Road
HCH,Hornchurch
HNC,Hounslow Central
HNE,Hounslow East
HNW,Hounslow West
HET,Homerton
HXT,Hoxton
HOP,Honor Oak Park
HPC,Hyde Park Corner
ICK,Ickenham
IPW,Imperial Wharf
ILG,Island Gardens
KEN,Kennington
KGN,Kensal Green
KGR,Kensal Rise
OLY,Kensington (Olympia)
KTN,Kentish Town
KTW,Kentish Town West
KNT,Kenton
KEW,Kew Gardens
KIL,Kilburn
KHR,Kilburn High Road
KPK,Kilburn Park
KGV,King George V
KXX,King's Cross St. Pancras
KBY,Kingsbury
KNB,Knightsbridge
LBG,Ladbroke Grove
LAM,Lambeth North
LAN,Lancaster Gate
LGP,Langdon Park
LTR,Latimer Road
LSQ,Leicester Square
LSH,Lewisham
LEY,Leyton
LMR,Leyton Midland Road
LYS,Leytonstone
LHR,Leytonstone High Road
LMH,Limehouse
LST,Liverpool Street
LON,London Bridge
LCA,London City Airport
LTN,Loughton
MDV,Maida Vale
MNR,Manor House
MAN,Mansion House
MAR,Marble Arch
MYB,Marylebone
MLE,Mile End
MHE,Mill Hill East
MON,Monument
MPK,Moor Park
MGT,Moorgate
MOR,Morden
MCR,Mornington Crescent
MDC,Mudchute
NEA,Neasden
NWX,New Cross
NCG,New Cross Gate
NEP,Newbury Park
NAC,North Acton
NEL,North Ealing
NGW,North Greenwich
NHR,North Harrow
NWM,North Wembley
NFD,Northfields
NHT,Northolt
NWP,Northwick Park
NWD,Northwood
NWH,Northwood Hills
NWJ,Norwood Junction
NHG,Notting Hill Gate
OAK,Oakwood
OLD,Old Street
OST,Osterley
OVL,Oval
OXC,Oxford Circus
PAD,Paddington
PRY,Park Royal
PGR,Parsons Green
PHR,Peckham Rye
PGW,Penge West
PER,Perivale
PIC,Piccadilly Circus
PIM,Pimlico
PIN,Pinner
PLW,Plaistow
PTD,Pontoon Dock
POP,Poplar
PSR,Preston Road
PCR,Prince Regent
PML,Pudding Mill Lane
PUT,Putney Bridge
QPK,Queen's Park
QRP,Queens Road Peckham
QBY,Queensbury
QWY,Queensway
RCP,Ravenscourt Park
RLN,Rayners Lane
RED,Redbridge
RPK,Regent's Park
RMD,Richmond
RKY,Rickmansworth
ROD,Roding Valley
RTE,Rotherhithe
RLA,Royal Albert
RLO,Royal Oak
RLV,Royal Victoria
RUI,Ruislip
RUG,Ruislip Gardens
RUM,Ruislip Manor
RSQ,Russell Square
SVS,Seven Sisters
SHW,Shadwell
SBC,Shepherd's Bush
SBM,Shepherd's Bush Market
SHS,Shoreditch High Street
SSQ,Sloane Square
SNB,Snaresbrook
SHA,South Acton
SEL,South Ealing
SHH,South Hampstead
SHR,South Harrow
SKN,South Kensington
SKT,South Kenton
STQ,South Quay
SRP,South Ruislip
SHT,South Tottenham
SWM,South Wimbledon
SWF,South Woodford
SFS,Southfields
SGT,Southgate
SWK,Southwark
SJP,St. James's Park
SJW,St. John's Wood
STP,St. Paul's
STB,Stamford Brook
STA,Stanmore
SRL,Star Lane
STG,Stepney Green
STK,Stockwell
SPK,Stonebridge Park
SFD,Stratford
SHS,Stratford High Street
SFI,Stratford International
SHL,Sudbury Hill
STN,Sudbury Town
SYQ,Surrey Quays
SWC,Swiss Cottage
SDH,Sydenham
TEM,Temple
THB,Theydon Bois
TBE,Tooting Bec
TBY,Tooting Broadway
TCR,Tottenham Court Road
TTH,Tottenham Hale
TOT,Totteridge & Whetstone
TWG,Tower Gateway
THL,Tower Hill
TPK,Tufnell Park
TGR,Turnham Green
TPL,Turnpike Lane
UPM,Upminster
UPB,Upminster Bridge
UPY,Upney
URH,Upper Holloway
UPK,Upton Park
UXB,Uxbridge
VUX,Vauxhall
VIC,Victoria
WAL,Walthamstow Central
WQR,Walthamstow Queens Road
WWR,Wandsworth Road
WAN,Wanstead
WTP,Wanstead Park
WPG,Wapping
WST,Warren Street
WAR,Warwick Avenue
WLO,Waterloo
WAT,Watford
WHS,Watford High Street
WFJ,Watford Junction
WEM,Wembley Central
WPK,Wembley Park
WAC,West Acton
WBT,West Brompton
WSC,West Croydon
WFY,West Finchley
WHM,West Ham
WHD,West Hampstead
WHR,West Harrow
WIQ,West India Quay
WKN,West Kensington
WRP,West Ruislip
WTS,West Silverton
WBP,Westbourne Park
WFR,Westferry
WMS,Westminster
WCT,White City
WCL,Whitechapel
WLG,Willesden Green
WJN,Willesden Junction
WDN,Wimbledon
WMP,Wimbledon Park
WGN,Wood Green
WDL,Wood Lane
WFD,Woodford
WSP,Woodside Park
WWA,Woolwich Arsenal